file,min,max,mean,std,q1,median,q3
10393366.tif,-456.0,474.0,-0.004365298,4.7939568,-1.921875,0.00390625,1.9296875
506435073_506435081.tif,-456.0,474.0,-0.019272842,6.10408,-2.09375,0.01171875,2.109375
2072963002.tif,-456.0,474.0,0.016973037,3.9503748,-1.78125,0.015625,1.8046875
50557653-7659.tif,-456.0,474.0,-0.009275846,5.2347713,-2.046875,-0.03125,1.9921875
0060120612.tif,-456.0,474.0,0.029587116,4.856053,-1.828125,0.0234375,1.875
2041719126.tif,-456.0,474.0,-0.020283002,4.8282595,-1.953125,-0.00390625,1.9375
1001764469_1001764471.tif,-456.0,474.0,-0.004813215,5.3882294,-2.015625,0.033203125,2.078125
505916727_505916731.tif,-456.0,474.0,-0.016770136,4.7696724,-1.8984375,0.015625,1.921875
2085765506a.tif,-456.0,474.0,0.024953071,4.031681,-1.8125,0.03125,1.859375
502143354.tif,-456.0,474.0,-0.01301092,5.3675523,-2.0625,0.00390625,2.0625
2083647666b.tif,-456.0,474.0,0.026774067,4.4327803,-1.84375,0.01953125,1.875
2021542199.tif,-456.0,474.0,0.0359341,4.461927,-1.796875,0.04345703,1.875
508464190_508464191.tif,-456.0,474.0,0.029509129,4.803621,-1.8671875,0.03125,1.921875
2028600583.tif,-456.0,474.0,-0.026547374,4.9214325,-1.96875,0.0,1.953125
2051125217.tif,-456.0,474.0,-0.008066353,5.0838184,-1.984375,0.03125,2.03125
71181839.tif,-456.0,474.0,-0.030588703,4.994699,-1.984375,-0.015625,1.953125
71389299.tif,-456.0,474.0,-0.02213648,5.326982,-2.03125,0.0234375,2.0625
515989591+-9592.tif,-456.0,474.0,-0.005838927,5.131344,-2.015625,-0.001953125,2.0
1003542937-a.tif,-456.0,474.0,0.008969046,5.199563,-1.96875,0.0078125,1.984375
524114763+-4763.tif,-456.0,474.0,-0.0051021865,5.5898514,-2.109375,0.015625,2.125
11299952-9954.tif,-456.0,474.0,-0.015980868,4.8655887,-1.984375,-0.00390625,1.96875
50681679-1693.tif,-456.0,474.0,0.0033270563,5.205307,-2.03125,-0.0146484375,2.015625
82252965_2967.tif,-456.0,474.0,-0.026942465,4.8276687,-1.921875,0.0,1.9140625
2063608814.tif,-456.0,474.0,0.038521633,4.8901644,-1.8125,0.046875,1.90625
0001234943.tif,-456.0,474.0,-0.005913072,5.551903,-2.03125,0.0078125,2.03125
506256747.tif,-456.0,474.0,0.03596846,5.8943286,-1.984375,0.0234375,2.03125
89231865_1882.tif,-456.0,474.0,0.015141198,4.4716134,-1.859375,0.025390625,1.90625
2021310829.tif,-456.0,474.0,0.02634661,4.4575047,-1.78125,0.025390625,1.828125
2028528774.tif,-456.0,474.0,0.013171784,5.356842,-2.046875,0.0,2.03125
2047128103_8105.tif,-456.0,474.0,-0.0060298108,5.1663094,-1.9375,-0.015625,1.90625
50596332-6333.tif,-456.0,474.0,-0.023636367,4.617165,-1.953125,-0.015625,1.921875
85628496.tif,-456.0,474.0,0.01696389,5.4074516,-1.96875,0.03125,2.03125
95993478.tif,-456.0,474.0,-0.0066423044,4.5639777,-1.890625,0.0,1.8828125
2045342985.tif,-456.0,474.0,-0.030894253,5.1652775,-2.03125,0.0078125,2.03125
0060240235.tif,-456.0,474.0,0.02868881,5.0138245,-1.8828125,0.03125,1.9453125
2072010820_0823.tif,-456.0,474.0,-0.0032697376,4.729013,-1.90625,-0.00390625,1.890625
2031506109_6110.tif,-456.0,474.0,-0.01589928,5.986204,-2.09375,0.0234375,2.125
