vision_model.embeddings.patch_embedding	(1024, 3, 14, 14)
vision_model.encoder.layers.0.attn.qkv	(3072, 1024)
vision_model.encoder.layers.0.attn.proj	(1024, 1024)
vision_model.encoder.layers.0.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.0.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.0.norm1	(1024,)
vision_model.encoder.layers.0.norm2	(1024,)
vision_model.encoder.layers.1.attn.qkv	(3072, 1024)
vision_model.encoder.layers.1.attn.proj	(1024, 1024)
vision_model.encoder.layers.1.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.1.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.1.norm1	(1024,)
vision_model.encoder.layers.1.norm2	(1024,)
vision_model.encoder.layers.2.attn.qkv	(3072, 1024)
vision_model.encoder.layers.2.attn.proj	(1024, 1024)
vision_model.encoder.layers.2.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.2.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.2.norm1	(1024,)
vision_model.encoder.layers.2.norm2	(1024,)
vision_model.encoder.layers.3.attn.qkv	(3072, 1024)
vision_model.encoder.layers.3.attn.proj	(1024, 1024)
vision_model.encoder.layers.3.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.3.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.3.norm1	(1024,)
vision_model.encoder.layers.3.norm2	(1024,)
vision_model.encoder.layers.4.attn.qkv	(3072, 1024)
vision_model.encoder.layers.4.attn.proj	(1024, 1024)
vision_model.encoder.layers.4.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.4.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.4.norm1	(1024,)
vision_model.encoder.layers.4.norm2	(1024,)
vision_model.encoder.layers.5.attn.qkv	(3072, 1024)
vision_model.encoder.layers.5.attn.proj	(1024, 1024)
vision_model.encoder.layers.5.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.5.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.5.norm1	(1024,)
vision_model.encoder.layers.5.norm2	(1024,)
vision_model.encoder.layers.6.attn.qkv	(3072, 1024)
vision_model.encoder.layers.6.attn.proj	(1024, 1024)
vision_model.encoder.layers.6.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.6.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.6.norm1	(1024,)
vision_model.encoder.layers.6.norm2	(1024,)
vision_model.encoder.layers.7.attn.qkv	(3072, 1024)
vision_model.encoder.layers.7.attn.proj	(1024, 1024)
vision_model.encoder.layers.7.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.7.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.7.norm1	(1024,)
vision_model.encoder.layers.7.norm2	(1024,)
vision_model.encoder.layers.8.attn.qkv	(3072, 1024)
vision_model.encoder.layers.8.attn.proj	(1024, 1024)
vision_model.encoder.layers.8.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.8.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.8.norm1	(1024,)
vision_model.encoder.layers.8.norm2	(1024,)
vision_model.encoder.layers.9.attn.qkv	(3072, 1024)
vision_model.encoder.layers.9.attn.proj	(1024, 1024)
vision_model.encoder.layers.9.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.9.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.9.norm1	(1024,)
vision_model.encoder.layers.9.norm2	(1024,)
vision_model.encoder.layers.10.attn.qkv	(3072, 1024)
vision_model.encoder.layers.10.attn.proj	(1024, 1024)
vision_model.encoder.layers.10.mlp.fc1	(4096, 1024)
vision_model.encoder.layers.10.mlp.fc2	(1024, 4096)
vision_model.encoder.layers.10.norm1	(1024,)
vision_model.encoder.layers.10.norm2	(1024,)
vision_model.encoder.layers.11.attn.qkv	(3072, 1024)
vision_model.encoder.layers.11.attn.proj	(1024, 1024)
