dataset,phase,project,run_id,run_name,state,loss_type,k,loss_label,lr,margin,scale,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_points,sweep_url,score,toxic
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,5yctvfj4,LA-CDIP_InternVL3-2B_subcenter_arcface_20260208-235547,finished,subcenter_arcface,2,subcenter_arcface_k2,6.576665789827623e-06,0.38095532604182614,32.0,0.017879353233830865,0.017879353233830865,0.0,0.003231438073822533,True,4,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/5yctvfj4,0.0211107913076534,True
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,pcedoms5,LA-CDIP_InternVL3-2B_subcenter_arcface_20260209-011518,finished,subcenter_arcface,2,subcenter_arcface_k2,3.109106188993004e-05,0.43413743161311,32.0,0.017879353233830865,0.06110074626865672,0.043221393034825854,0.016792887313684043,False,5,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/pcedoms5,0.013061544030101981,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,7qjnwj1s,LA-CDIP_InternVL3-2B_subcenter_arcface_20260209-025610,finished,subcenter_arcface,1,subcenter_arcface_k1,0.0006824184328865355,0.5521495016785261,32.0,0.29213308457711445,0.3308457711442786,0.038712686567164145,0.022742283080027095,True,5,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/7qjnwj1s,0.2955190243735594,True
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,vxqzmzx6,LA-CDIP_InternVL3-2B_subcenter_arcface_20260209-043526,finished,subcenter_arcface,3,subcenter_arcface_k3,1.3400387155321323e-05,0.4205394033813069,32.0,0.025342039800995045,0.025342039800995045,0.0,0.014612928878746559,False,4,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/vxqzmzx6,0.039954968679741604,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,yv0fonj2,LA-CDIP_InternVL3-2B_subcenter_arcface_20260209-055459,finished,subcenter_arcface,3,subcenter_arcface_k3,3.746206035626117e-05,0.2806165751702111,32.0,0.017879353233830865,0.06110074626865672,0.043221393034825854,0.015669173777077897,False,5,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/yv0fonj2,0.011937830493495834,False
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,zkd1jw0p,LA-CDIP_InternVL3-2B_contrastive_20260209-075854,finished,contrastive,3,contrastive_k3,7.70006982326103e-05,0.6793862695168865,64.0,0.05363805970149253,0.05363805970149253,0.0,6.938893903907228e-18,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/zkd1jw0p,0.05363805970149254,True
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,vpvw28rb,LA-CDIP_InternVL3-2B_contrastive_20260209-085839,finished,contrastive,3,contrastive_k3,0.00019358407185151807,0.4303884551179401,64.0,0.05363805970149253,0.06110074626865672,0.007462686567164187,0.02721526192318359,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/vpvw28rb,0.07712197834109402,True
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,ham4lo5b,LA-CDIP_InternVL3-2B_contrastive_20260209-095823,finished,contrastive,3,contrastive_k3,1.6284560481181613e-05,0.26030524822907597,64.0,0.04322139303482585,0.04322139303482585,0.0,0.011946352128255322,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/ham4lo5b,0.05516774516308117,True
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,fk7cxono,LA-CDIP_InternVL3-2B_contrastive_20260209-105806,finished,contrastive,3,contrastive_k3,5.742720423216151e-06,0.8962859244994208,64.0,0.017879353233830865,0.017879353233830865,0.0,0.010633186749956438,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/fk7cxono,0.028512539983787305,True
LA-CDIP,coarse,CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps,5y0kr37d,LA-CDIP_InternVL3-2B_contrastive_20260209-115750,finished,contrastive,3,contrastive_k3,0.00011718134711036706,0.15532069488977393,64.0,0.04617537313432836,0.06405472636815922,0.017879353233830858,0.007825627654538399,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_LA-CDIP_InternVL3-2B_Sweeps/runs/5y0kr37d,0.04506132417195133,False
