dataset,phase,project,run_id,run_name,state,loss_type,k,loss_label,lr,margin,scale,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_points,sweep_url,score,toxic
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,iids1f9e,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-155412,finished,subcenter_arcface,1,subcenter_arcface_k1,1.2157708143666018e-05,0.5667628839840665,32.0,0.3810797046091164,0.3810797046091164,0.0,0.0181236428571971,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/iids1f9e,0.3992033474663135,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,opebdhx9,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-165509,finished,subcenter_arcface,1,subcenter_arcface_k1,8.370863552907608e-05,0.5399759911552094,32.0,0.40718105423987777,0.40718105423987777,0.0,0.02942734685558844,True,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/opebdhx9,0.4366084010954662,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,cehketup,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-175557,finished,subcenter_arcface,1,subcenter_arcface_k1,1.3337165286836895e-05,0.29867760466094684,32.0,0.32900432900432897,0.40718105423987777,0.0781767252355488,0.0324973940245495,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/cehketup,0.3224133604111041,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,i9pqzao3,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-185701,finished,subcenter_arcface,1,subcenter_arcface_k1,3.871022909858936e-05,0.341986322531729,32.0,0.31920040743570155,0.3680926916221034,0.048892284186401846,0.02230874540177613,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/i9pqzao3,0.31706301074427673,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,upatmdqy,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-195800,finished,subcenter_arcface,1,subcenter_arcface_k1,3.724633292745776e-05,0.28578553052529276,32.0,0.29322638146167557,0.3745861981156099,0.08135981665393432,0.033223478452630475,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/upatmdqy,0.28576995158733887,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,2e0agpsb,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-205900,finished,subcenter_arcface,1,subcenter_arcface_k1,1.616161712458029e-05,0.37112103621973136,32.0,0.34199134199134196,0.41367456073338427,0.07168321874204231,0.02942734685558846,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/2e0agpsb,0.33557707947590926,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,ym32stog,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-220016,finished,subcenter_arcface,1,subcenter_arcface_k1,2.3616219396780004e-06,0.21933225379575308,32.0,0.3680926916221034,0.3680926916221034,0.0,0.007682681265756549,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/ym32stog,0.37577537288785995,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,4klyv9r4,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-230108,finished,subcenter_arcface,1,subcenter_arcface_k1,0.0003638007715366325,0.2568907872806627,32.0,0.4462694168576522,0.491851285968933,0.045581869111280815,0.030804490430736936,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/4klyv9r4,0.45428297273274876,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,hxfggcjp,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-000218,finished,subcenter_arcface,1,subcenter_arcface_k1,2.8078656776446215e-05,0.3405702288128847,32.0,0.3517952635599695,0.3680926916221034,0.016297428062133912,0.007682681265756549,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/hxfggcjp,0.35132923079465905,True
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,c1d15k9g,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-010323,finished,subcenter_arcface,1,subcenter_arcface_k1,1.4419291476230612e-05,0.21510024804826025,32.0,0.31920040743570155,0.41367456073338427,0.09447415329768272,0.03857680345889494,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/c1d15k9g,0.3105401342457551,False
