dataset,phase,project,run_id,run_name,state,loss_type,k,loss_label,lr,margin,scale,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_points,sweep_url,score,toxic
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,hnkytf8b,RVL-CDIP_InternVL3-2B_contrastive_20260301-174518,finished,contrastive,3,contrastive_k3,4.871738856049808e-06,0.9880354202924349,64.0,0.32900432900432897,0.40399796282149225,0.07499363381716329,0.03062521420359205,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/hnkytf8b,0.32213272629933937,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,nottuj5a,RVL-CDIP_InternVL3-2B_contrastive_20260301-204709,finished,contrastive,3,contrastive_k3,4.954135880254803e-06,0.9937860644918362,64.0,0.32900432900432897,0.40399796282149225,0.07499363381716329,0.03062521420359205,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/nottuj5a,0.32213272629933937,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,qc59xlag,RVL-CDIP_InternVL3-2B_contrastive_20260301-184603,finished,contrastive,3,contrastive_k3,2.8990537819559227e-06,0.9965409819753596,64.0,0.3354978354978355,0.3745861981156099,0.039088362617774375,0.018426430848338005,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/qc59xlag,0.33438008503728633,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,g1lmh07w,RVL-CDIP_InternVL3-2B_contrastive_20260301-164443,finished,contrastive,3,contrastive_k3,6.939527778554113e-06,0.9541291735353066,64.0,0.3354978354978355,0.3517952635599695,0.016297428062133967,0.01076518819627763,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/g1lmh07w,0.3381143096630462,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,upatmdqy,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-195800,finished,subcenter_arcface,1,subcenter_arcface_k1,3.724633292745776e-05,0.28578553052529276,32.0,0.29322638146167557,0.3745861981156099,0.08135981665393432,0.033223478452630475,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/upatmdqy,0.28576995158733887,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,c1d15k9g,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-010323,finished,subcenter_arcface,1,subcenter_arcface_k1,1.4419291476230612e-05,0.21510024804826025,32.0,0.31920040743570155,0.41367456073338427,0.09447415329768272,0.03857680345889494,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/c1d15k9g,0.3105401342457551,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,i9pqzao3,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-185701,finished,subcenter_arcface,1,subcenter_arcface_k1,3.871022909858936e-05,0.341986322531729,32.0,0.31920040743570155,0.3680926916221034,0.048892284186401846,0.02230874540177613,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/i9pqzao3,0.31706301074427673,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,cehketup,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-175557,finished,subcenter_arcface,1,subcenter_arcface_k1,1.3337165286836895e-05,0.29867760466094684,32.0,0.32900432900432897,0.40718105423987777,0.0781767252355488,0.0324973940245495,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/cehketup,0.3224133604111041,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,cbbcehaf,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260222-030537,finished,subcenter_arcface,1,subcenter_arcface_k1,1.29085880461141e-05,0.15990815449712517,32.0,0.32900432900432897,0.39088362617774386,0.06187929717341489,0.03270249456571255,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/cbbcehaf,0.3307671749833341,False
RVL-CDIP,coarse,CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps,2e0agpsb,RVL-CDIP_InternVL3-2B_subcenter_arcface_20260221-205900,finished,subcenter_arcface,1,subcenter_arcface_k1,1.616161712458029e-05,0.37112103621973136,32.0,0.34199134199134196,0.41367456073338427,0.07168321874204231,0.02942734685558846,False,3,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_InternVL3-2B_Sweeps/runs/2e0agpsb,0.33557707947590926,False
