dataset,phase,project,run_id,run_name,state,loss_type,k,loss_label,lr,margin,scale,eer_final,eer_epoch1,eer_drop,eer_stability,diverged,n_points,sweep_url,score
RVL-CDIP,fine,CaVL-Doc_RVL-CDIP_FineSearch,5ti01ch0,RVL-CDIP_InternVL3-2B_contrastive_20260305-203201,finished,contrastive,3,contrastive_k3,5.714661948315623e-06,0.8671974443007977,64.0,0.35371530600857687,0.35371530600857687,0.0,0.00833924708660002,True,4,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_FineSearch/runs/5ti01ch0,0.36205455309517687
RVL-CDIP,fine,CaVL-Doc_RVL-CDIP_FineSearch,nukr3172,RVL-CDIP_InternVL3-2B_contrastive_20260305-233432,finished,contrastive,3,contrastive_k3,5.464961532757093e-06,0.8520215961920808,64.0,0.3553334289859231,0.3553334289859231,0.0,0.00790333919697688,True,4,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_FineSearch/runs/nukr3172,0.3632367681829
RVL-CDIP,fine,CaVL-Doc_RVL-CDIP_FineSearch,tpgl3j3r,RVL-CDIP_InternVL3-2B_contrastive_20260306-032233,finished,contrastive,3,contrastive_k3,4.451946885033182e-06,0.9292330258248628,64.0,0.34555295167950006,0.36595883750219205,0.020405885822691983,0.009857309680915612,False,5,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_FineSearch/runs/tpgl3j3r,0.3452073184490697
RVL-CDIP,fine,CaVL-Doc_RVL-CDIP_FineSearch,d3lsy0t9,RVL-CDIP_InternVL3-2B_contrastive_20260306-071014,finished,contrastive,3,contrastive_k3,4.141934950181384e-06,0.9475551589664666,64.0,0.3398536515376154,0.36595883750219205,0.02610518596457667,0.010252729425837758,False,5,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_FineSearch/runs/d3lsy0t9,0.3370537879811648
RVL-CDIP,fine,CaVL-Doc_RVL-CDIP_FineSearch,uj25eti9,RVL-CDIP_InternVL3-2B_contrastive_20260306-105757,finished,contrastive,3,contrastive_k3,4.021907481492051e-06,0.9279920564957332,64.0,0.33823552856026906,0.3561066207534236,0.017871092193154525,0.007927756234609194,False,5,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_FineSearch/runs/uj25eti9,0.33722773869830097
RVL-CDIP,fine,CaVL-Doc_RVL-CDIP_FineSearch,aqj82pkr,RVL-CDIP_InternVL3-2B_contrastive_20260306-144602,finished,contrastive,3,contrastive_k3,4.022879580015163e-06,0.9478820356339596,64.0,0.33823552856026906,0.36349578331499993,0.02526025475473087,0.010008938126845631,False,5,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_FineSearch/runs/aqj82pkr,0.3356143393097492
RVL-CDIP,fine,CaVL-Doc_RVL-CDIP_FineSearch,7hhppvgh,RVL-CDIP_InternVL3-2B_contrastive_20260306-183352,finished,contrastive,3,contrastive_k3,4.268293052959631e-06,0.9481953980813146,64.0,0.3439348287021538,0.36595883750219205,0.02202400880003824,0.008806912050368538,False,5,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_FineSearch/runs/7hhppvgh,0.34172973635250325
RVL-CDIP,fine,CaVL-Doc_RVL-CDIP_FineSearch,ranf1qp9,RVL-CDIP_InternVL3-2B_contrastive_20260306-222149,finished,contrastive,3,contrastive_k3,4.134279817837019e-06,0.9046213109918928,64.0,0.3439348287021538,0.3651139062923462,0.021179077590192386,0.009698544753292439,False,5,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_FineSearch/runs/ranf1qp9,0.34304383466035004
RVL-CDIP,fine,CaVL-Doc_RVL-CDIP_FineSearch,ww1bd3qy,RVL-CDIP_InternVL3-2B_contrastive_20260307-020923,finished,contrastive,3,contrastive_k3,4.174461249664501e-06,0.9353030891715028,64.0,0.3398536515376154,0.3561066207534236,0.01625296921580821,0.007488917377303953,False,5,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_FineSearch/runs/ww1bd3qy,0.3392160843070152
RVL-CDIP,fine,CaVL-Doc_RVL-CDIP_FineSearch,g7t3gq5o,RVL-CDIP_InternVL3-2B_contrastive_20260307-055654,finished,contrastive,3,contrastive_k3,5.018228855660993e-06,0.9464498156774256,64.0,0.34555295167950006,0.35125225182138475,0.005699300141884689,0.010544771221553749,True,5,https://wandb.ai/jpcosta1990-university-of-brasilia/CaVL-Doc_RVL-CDIP_FineSearch/runs/g7t3gq5o,0.35324807283011145
